id,host_id,latitude,longitude,price,minimum_nights,calculated_host_listings_count,accommodates,bedrooms,bathrooms,beds,security_deposit,cleaning_fee,extra_people,maximum_nights,availability_30,amenities_number,neighbourhood_Bijlmer-Centrum,neighbourhood_Bijlmer-Oost,neighbourhood_Bos en Lommer,neighbourhood_Buitenveldert - Zuidas,neighbourhood_Centrum-Oost,neighbourhood_Centrum-West,neighbourhood_De Aker - Nieuw Sloten,neighbourhood_De Baarsjes - Oud-West,neighbourhood_De Pijp - Rivierenbuurt,neighbourhood_Gaasperdam - Driemond,neighbourhood_Geuzenveld - Slotermeer,neighbourhood_IJburg - Zeeburgereiland,neighbourhood_Noord-Oost,neighbourhood_Noord-West,neighbourhood_Oostelijk Havengebied - Indische Buurt,neighbourhood_Osdorp,neighbourhood_Oud-Noord,neighbourhood_Oud-Oost,neighbourhood_Slotervaart,neighbourhood_Watergraafsmeer,neighbourhood_Westerpark,neighbourhood_Zuid,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_Apartment,property_type_House,property_type_Other,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_60
55807,263844,52.36965708064435,4.8620254265502405,60,2,1,2,1.0,1.0,1.0,0.0,15.0,0.0,7,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
55868,264178,52.356132975812436,4.885149546738222,149,4,1,4,2.0,1.5,4.0,300.0,0.0,20.0,21,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
56879,270282,52.38453334724865,4.892545431659382,112,28,1,4,2.0,1.0,4.0,250.0,100.0,10.0,28,0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
57408,273329,52.361929788889256,4.936400957199159,100,4,2,4,2.0,1.0,2.0,0.0,0.0,10.0,225,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
57978,276959,52.36448156797004,4.877220554469521,125,3,1,3,1.0,1.0,3.0,0.0,30.0,30.0,365,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
58211,278253,52.369164791657006,4.8844453447991505,225,3,2,4,2.0,2.0,2.0,0.0,100.0,50.0,365,6,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
62015,301340,52.364452721531094,4.931235930520656,109,2,1,2,1.0,1.0,1.0,750.0,45.0,0.0,5,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
62801,306117,52.38458682993324,4.854626513131404,750,30,1,4,2.0,1.0,1.0,0.0,0.0,0.0,30,29,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
64736,306192,52.363481306084545,4.8678339776210455,145,4,1,2,1.0,1.5,1.0,150.0,25.0,0.0,90,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
64769,312863,52.362253841258536,4.901999344356419,450,4,1,4,3.0,2.5,4.0,500.0,0.0,50.0,1125,5,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
